,username,eye_color,hair,skin_tone,skin_type,skin_concerns,foundation_color,review,recommend,unhelpful,helpful,star
360,josietrips,Blue,Black,Porcelain,Dry,Unknown,110,"I have extremely pale cool toned skin and any foundation I've tried has always looked orange and awful. This, however, is the PERFECT shade for me. There's not a lot of brands who cater to both light and dark skin tones and it's amazing that Rhianna has done it. With most brands, the pale shades usually have neutral undertones and it makes it really hard to find a foundation that you don't have to mix in a concealer with just to get it to match. I have dry skin and this foundation slightly picks up on the dry patches on my nose but not on my cheeks or chin like others have. My nose has always been a problem with any foundation I've tried so I'm not taking away any stars for it because I'm sure if I upped my skin care game it'd be no problem. Will be buying again when I need a new one.",1,1,5,100
362,dreyes7,Brown,Brunette,Medium,Oily,Acne,290,It’s almost like a sheer coverage and if you try to add another coat of foundation it makes your pores look so clogged even with the pore toner. Doesn’t blend well and the color is a tad bit too yellow.,0,1,5,40
363,hwing,Green,Brunette,Fair,Dry,Redness,150,"I have officially found my new holy grail! My skin is normal/dry with redness on my cheeks. This foundation is truly light weight but provides enough coverage to cover my redness. I wore this foundation for 10 hours and it still looked great at the end of the night. My skin is normally dry, but this foundation was hydrating and dried to a natural finish. Love the color range! So easy to find a shade to match.",1,2,10,100
364,KimmA08,Green,Brunette,Olive,Combination,Sensitivity,340,I normally have such a difficult time finding a foundation that matches my skin tone. This one is less oily and does not look like I have a pound of make up on. I love wearing a natural look since I seldom wear make up.,1,5,25,100
365,ivyR52,Unknown,Unknown,Light,Oily,Unknown,150,"Absolutely in love! The formula I've been looking for my whole life. Its very matte but extremely lightweight! It feels like nothing on your skin, but with great coverage. Ive tried so many matte foundations and they all look sweaty and cakey by the end of the day but this does NOT. If you have oily skin BUY THIS and never look back. You have to blend quickly, with a beauty blender, but honestly so stunning I'm in love. thanks RIRI",1,2,10,100
366,watslifewoglitr,Blue,Blonde,Light,Combination,Acne,120,This is the most natural and beautiful foundation I've used yet. It is so good I want to do my make up everyday even if it's just my face. After working 8/9 hrs and sweating my face is still on point!,1,4,20,100
367,GolchinMak,Brown,Black,Olive,Dry,Unknown,360,Love Love Loveeee this foundation. Finally a foundation for middle eastern girl; Olive undertone. I'm in love.,1,1,5,100
368,legramilan,Brown,Black,Deep,Combination,Acne,400,"I really liked this foundation. It's lightweight, goes on easily and seems like it's great for oily skin but if you have dark spots from acne like me don't even try it. It covers nothing. But if you have perfect skin, go for it.",0,9,45,40
369,Eye Color Blue,Blue,Brunette,Light,Normal,Dark circles,130,"I really wanted to like this, I even went to four different Sephoras before I found my shade in stock, but it just didn't work for me. My skin is moderately oily so I thought a soft matte foundation would even it out but this made my chin so dry it started flaking and accentuated my pores so much they were enormous (I normally never notice my pores at all). It also seemed to settle in such a way that every little line on my face was visible making me look tired and haggard. Also not impressed with a foundation that doesn't even have at least SPF 25",0,3,15,20
370,laurengrace,Unknown,Unknown,Unknown,Unknown,Unknown,180,"If you're looking for a medium coverage foundation that feels light on the skin, this is it! I was matched by Sephora for a shade darker than this, but I heard that the foundation oxidizes and the shade wasn't available, so I went for a shade lighter. That was one of the best choices I've made. I was a little worried at first, but, as per the previous reviews, it ended up darkening a bit to match my skin tone. My only issue is that when you first put it on it's a little too matte for my taste, but can be easily solved with a moisturizing primer.",1,2,10,80
371,yoheyholla,Brown,Brunette,Tan,Combination,Dark circles,360,"Fenty beauty... let me just say, I was so excited to get this. First thing you should know is: DON'T order online. Make sure to get matched at a sephora. The foundation oxidizes so it changes colors after drying. Second: I do not usually wear foundation. I hate feeling like I have a mask caked on. However, this is medium to full coverage and it feels like your own skin. It's amazing and I forget I have it on.",1,1,5,80
372,R0nii,Brown,Black,Dark,Combination,Unknown,420,LOVE LOVE LOVE this foundation.......it works really well with combination skin!!! I didn't expect to look flawless with a medium coverage foundation so I'm very pleased!!! The hype is REAL!!!,1,1,5,100
373,ChauItUp,Brown,Black,Light,Oily,Acne,130,"When I first got it, I loved it. It is full coverages and matte too. It covered a lot of my scar and my acne. However, even though my skin is oily type but this foundation makes my skin extremely dry sometimes, especially at the fine line near my mouth. So I highly recommended you guys mix with beauty oils or moisturize your skin before apply the product.",1,1,5,80
374,Kindyb,Brown,Black,Tan,Dry,Unknown,330,Foundation was too cakes on face and darken as the day went by by. disappointed,0,1,5,40
375,reemula,Green,Brunette,Medium,Combination,Uneven skin tones,260,This is the best foundation I have ever tried. It lasted all day long! I’m talking 8am-11 pm without budging. It is 90 degrees out today and this passed the test. You could not see one single pore on my skin. My favorite part of the foundation is that it provides amazing coverage but still allows your skin to show. It gave me Hollywood red carpet vibes.,1,4,20,100
376,heychar1ie,Hazel,Black,Porcelain,Dry,Aging,120,"I wanted to love this foundation. My skin is normal but the foundation aged me 15 years. Despite several attempts and extensive prepping/setting, it kept separating from my skin in weird areas and emphasized all the lines on my face. Conversely, I've used it on an oily skinned friend and it remained beautiful all day. So I definitely think it's not a bad foundation, just bad for skin types outside of the oily range. I give it 2 starts for the amazing shade range and the buildable coverage. I love Fenty and really hope they come out with an alternative for us normal/dry skinned customers!",0,1,5,40
377,gparodi,Unknown,Unknown,Unknown,Unknown,Unknown,260,Bought the 260 and 290. Beautiful finish. I have dry skin and I loved this matte finish.,1,1,5,100
378,Nellichante,Brown,Brunette,Dark,Dry,Acne,440,I have very dry skin with the right moisturizer this looks amazing on me highly recommend it!,1,1,5,100
379,KKS0727,Brown,Blonde,Deep,Oily,Cellulite,420,"I went into my Sephora & got matched to color 420 & I instantly fell in love with the foundation. It’s so lightweight & blends into your skin very well. I also have oily skin so it works well for my skin. The same day i brought my foundation I went to a baseball game & it lasted the whole night, I didn’t fell oily at all.! A great product that everyone should try.",1,9,45,80
380,Alatrice91,Brown,Brunette,Dark,Oily,Redness,430,This foundation is a beautiful and lightweight. I have oily skin and it lasts all day. I have to use a matte primer to not get oily. The Fenty beauty primer doesn’t work for me with this foundation but it’s a nice purchase.,1,4,20,100
381,somegirljess,Blue,Blonde,Porcelain,Oily,Acne,140,"I first tried shade 120, which looked good for my fair, neutral-to-yellow skin. But it oxidized to a straight up peach colour. 130 was much too yellow, 100 was too pale, and 110 was too pink. So, I tried 140 next, which was better for my undertone but is a shade too dark (i can make it work though with a lot of blending). The PROs to this foundation: kept my oily skin matte for 8 hours! It's also ultra light-weight. The CONs: oxidizes, can look a bit dry. It's definitely worth a try because of how long-lasting it is. Full review on my youtube channel - somegirljess",1,2,10,60
382,unique88,Brown,Brunette,Olive,Oily,Acne,310,I bought the foundation in 370 online at first but it was too dark and turned orange. I'm a mac nc44 so I drove an hour to the closet Sephora to return the foundation and get matched. The foundation drys quick and blends well. I would recommend this foundation because it is great for oily skin and has nice coverage.,1,8,40,100
383,Annnnnnnng,Brown,Black,Olive,Oily,Acne,"atch is unbelievably amazing. I don't think I've ever had such a perfect match. However, this is not for oily skin at all. I have oily skin and it did not wear pass the 3rd hour mark at all. Made my pores so huge and it broke apart. This foundation won't work with dry skin as well because it will cling to dry spots. Its best for combo skin.","Color match is unbelievably amazing. I don't think I've ever had such a perfect match. However, this is not for oily skin at all. I have oily skin and it did not wear pass the 3rd hour mark at all. Made my pores so huge and it broke apart. This foundation won't work with dry skin as well because it will cling to dry spots. Its best for combo skin.",0,12,59,40
384,Kelly1126,Brown,Brunette,Tan,Combination,Blackheads,280,I love how lightweight it feels on my skin! But for it being lightweight it gives super coverage! One thing to keep in mine is that it does tend to get darker.,1,8,39,80
385,jessihugh,Brown,Auburn,Dark,Combination,Acne,410,"I have a very hard time with foundation. I'm not very dark, and I have cool undertones so I sit in that weird area where most foundations are either too light or way too dark. This is the first foundation I've ever bought that fit me EXACTLY ( when the girl swatched me I had to double check that she actually put it on me), and that fit me straight from the ""jar"". It's very light weight, has the perfect amount of matte finish without being too dull, and doesn't make my very sensitive skin itchy. I'm a convert now and will be sticking with Riri from here on.",1,6,29,100
386,heytherelaur,Unknown,Unknown,Unknown,Unknown,Unknown,430,"As a Black girl this the holy grail of foundations for me right now. It's extremely hard for me to find good foundations since I have acne scars. I just brought it today and tried it on. It does go on heavy, but the end result doesn't have that cakey feeling to it. It feels completely weightless and has a nice flowerly smell to it. I needed more than two pumps than directed. Took pics and it looks as what it advertises to look like your skin tone. I only gave it four stars since I haven't tested for a whole day. But so far this could be my go to foundation. A definte try for all.",1,10,48,80
387,ashiioz,Brown,Gray,Fair,Normal,Unknown,120,"120 - Normal Skin You def need to moisturize, prime, and set for this foundation. Unfortunately by the end of the evening I am still left with inconsistent coverage that's mostly nesting in my pores and fine lines. It is shocking how bad it looks after 8 hours of wear :(",0,5,24,20
388,Minxykitty,Brown,Brunette,Medium,Combination,Dullness,210,I loved it at first gave a nice matte finish however after about a week it started making me break out like crazy! so sadly I have to give one star,0,4,19,20
389,jenr1,Brown,Black,Deep,Combination,Blackheads,370,"I was so excited to try this but it was horrible. It was drying, by the end of the day it collected around my smile lines and my skin was flaky. I tried different primers and different skincare but nothing worked and came to the conclusion that it was the foundation. I have normal skin with an oily T zone and this never happened til I used fenty foundation",0,4,19,20
390,JuicyE,Brown,Brunette,Deep,Combination,Blackheads,420,I got this foundation about 2 months ago... THIS IS MY FAVORITE FOUNDATION. It’s super lightweight and I only use a little less than 2 pumps for my entire face. My makeup always looks flawless. I also countour with the Espresso Matchstix .. LOVE and use Rum Matchstix on my eyes for a soft glitter lid. Rihanna did that.,1,4,19,100
391,Rileyfl94,Hazel,Brunette,Light,Normal,Redness,150,This product went on beautifully at first. After a very short time (1-2hrs) it started to cake around my nose,0,7,33,20
392,sarahhbankss,Unknown,Unknown,Unknown,Unknown,Unknown,100,"I was so excited for this foundation to be released that I went to my local Sephora the second it opened to test it out. I feel like products created by celebrities are either total hits or misses and this was ALMOST a perfect hit. The main pro is the color selection. I have a difficult time finding a color to match my undertone because I am very pink on my face, but my neck pulls more yellow. The neutral undertone blends perfectly. After color matching my biggest problem is foundation settling into the my laugh lines and the lines on my forehead and making them more pronounced. Not this one. I'm not sure if it's the fact that it's the matte formula (I normally use dewy finishes), but I've had this on for six hours now and my skin looks almost airbrushed - barely any settling whatsoever. It's also very lightweight. I was shocked that it felt like I had nothing on my face even going back in for more coverage. I just love the feel of it on my skin. But now for the cons... It is supposed to be medium coverage, but I would definitely call it light. The formula is water-based and VERY runny when it comes out of the pump. It look me going over it quite a few times to get the type of coverage I was expecting. It's unfortunate because now I'm predicting that I will go through the bottle more quickly than expected. The biggest flaw to me is how quickly it dries on my face. The sales associate explained to me that since it's water-based it needs about a minute to dry and set on my skin. This was NOT the case when I wore it tonight. I felt like I could not more fast enough to blend it out before it dried. I had stubborn splotches all over my forehead and jawline. I'm not sure if my application method was flawed because I'm used to using a more hydrating formula, but it was incredibly frustrating. All in all I really like this foundation and I think once I get used to the application it will be my new go-to!",1,17,80,80
393,Unndreeeyaaa,Brown,Brunette,Olive,Combination,Acne,310,"I like the finish on combination or normal skin, however for my dry skin it doesn’t work. The fact that if dries darker than the color applied also makes me not so much of a fan. This foundation is best applied with a brush going small parts at a time and blending a lot. If you just put dots all over your face and then buff them out or use Beauty Blender the foundation dries too quickly and leaves a mark. I am also in between colors due to undertones too.",0,10,47,60
394,Aim76,Brown,Brunette,Fair,Combination,Aging,170,"Gorgeous foundation with a very natural, yet hella matte finish. My skin's been mostly dry lately, but I beat the caking problem by starting off with a face oil (Herbivore Lapis) and once that's really absorbed I go in hard with the Pro Filt'r Instant Retouch Primer (like 3 pumps). Then lay down this foundation with a beauty blender. Voila! A comfortable flawless face that lasts me up to 10 hours. I don't wanna wear anything else (for the moment lo!l)",1,3,14,100
395,VinoMom83,Brown,Brunette,Olive,Combination,Acne,300,"I am loving Rihanna's foundation! It glides on smooth, and doesn't accentuate my pores. I'm a diehard Clinique Beyond Perfecting Concealer Foundation, but this is my new go-to. Well worth the price. I hope she expands her line!",1,3,14,100
396,tiatequila,Brown,Black,Ebony,Oily,Dark circles,450,"I would highly recommend this foundation! I've seen a handful of reviews suggesting that the foundation made their skin appear ""textured"" or dry looking. That being said, I would also recommend using a moisturizing primer underneath! Personally, I really liked how lightweight the product is",1,6,28,100
397,samsxox,Brown,Brunette,Olive,Combination,Acne,330,"I'm a MAC NC42, Marc Jacobs Honey Light, Nars Barcelona, Doublewear Cashew. Shade 330 is perfect for my skin tone and this foundation is absolutely stunning. Doesn't sink into fine lines, doesn't get oily in my tzone, doesn't accentuate texture or acne. It's like a filter on your face due to the finish and coverage! Also feels comfortable on the skin. This is now my holy grail - bye bye Marc Jacobs!",1,6,28,100
398,LeaTC,Unknown,Unknown,Unknown,Unknown,Unknown,230,"This review is based solely on what it has done so far and wow! I have dry skin with an oily t zone for reference. Trouble finding full coverage matte foundations that dnt dry me out. This is Blurring, definitely medium to buildable full coverage, velvet matte natural finish, AIR LIGHT, comfortable, not drying... bruh... I can't right now. It's like rihanna put herself into this so we can have her pic perfect skin.. no flash back.. dries down but does not oxidize..Not sure about longevity yet, but will definitely try it in the gym as it is meant to be sweat proof. But aside from that this foundation outdoes them all!!!",1,9,42,100
399,valxrusso,Unknown,Unknown,Unknown,Unknown,Unknown,280,"wanted to love this product but it became a horrible mess after 6 hours :( when i first applied it , it looked AMAZING! i went to school and when i got home after 6 hours i noticed that all the foundation on my cheek was completely gone!!! it broke apart is several other areas too, and top of that it oxidized like crazy! i looked like an orange and half of the foundation was gone. very disappointed :(",0,3,14,20
400,Lajoys,Brown,Black,Medium,Normal,Cellulite,300,I use to be just a lipgloss and eyeliner kind of girl until a couple years ago. I got discouraged a little because all the other foundation products in the makeup industry would always have me looking orangy and not allowing for a natural look...... that is until Ms. Rihanna dropped the Fenty line. I am super impressed with my results and when I say this foundation is so light in weight it’s almost unbelievable. I am a total fan and will not go else where for my foundation. Thank you for producing a line that compliments all shades of color. Love love love❤️,1,6,28,100
401,beautyninja,Brown,Blonde,Porcelain,Dry,Aging,100,"I wanted to love this foundation for its shade range and it’s beautiful finish, but it just isn’t for dry skin. The first day, it looked great until a couple hours in. My dry skin was showing through and the foundation highlighted every flake and pore and line. By day two, I tried exfoliating and packing in the moisturizer, but it looked terrible almost immediately. Almost like my skin didn’t have enough time to recover overnight. I’ve given up. A foundation should not take this much work.",0,11,51,40
402,queenbun,Unknown,Unknown,Unknown,Unknown,Unknown,360,"I recently ran out of my favorite foundation- NARS Sheer Glow in Syracuse, so I decided to try out some new ones. Been trying out different samples. I've tried the color Caramel in the Born This Way foundation and the color bronze in Double Wear. Both very good, but I'm not a fan of how cakey Double Wear looks. Born This Way was the front runner until today. I've been wearing the Fenty Beauty foundation in 360 and I think this one is the winner. It has good coverage, a nice matte finish, and it feels and looks like I'm wearing nothing on my face. My skin, but better. I have super oily skin and it has stayed put all day. No pools of oil on my skin like usual. I recommend it for those with oil skin and prefer a lightweight foundation.",1,32,148,100
403,AngieEstrada,Brown,Brunette,Medium,Combination,Unknown,220,I absolutely love this foundation. It is light and gives me the best coverage! just make sure to have a good cleansing night routine because this foundations sticks!,1,5,23,100
404,AshleyEve,Brown,Black,Deep,Normal,Aging,420,"My go to foundation is MAC face and body. I'm more normal to dry so I like a dewy foundation that is lightweight. I LOVE THIS. It's a velvet/satin finish however it doesn't make my face feel dry. Plus it's so lightweight and has build-able coverage. My skin still looks like skin like my MAC, but just has a different finish. LOVE LOVE LOVE IT!",1,2,9,100
405,mboyd89,Blue,Brunette,Porcelain,Oily,Redness,110,I am obsessed with this foundation! It's hard for me to find a shade that matched my skin tone without looking orange after it's been applied and I have extremely oily skin and this foundation managed to stay on all day.,1,2,9,100
406,Lulua123,Brown,Brunette,Medium,Combination,Aging,300,"I wanted to love this foundation so much, but unfortunately it oxidizes too much. I tried 3 different shades and they looked terrible after a couple of minutes. It made my skin look too orange. Unfortunately, I had to return this and try a different foundation.",0,2,9,20
407,nikkannec,Unknown,Brunette,Medium,Combination,Acne,260,"Was super excited to try this foundation sample as it has nearly cleared the shelves at the Sephora in my town. Unfortunately, I found this foundation very hard to blend, not great coverage, and very drying despite my oily skin. Will not be purchasing.",0,2,9,60
408,lacure,Brown,Auburn,Fair,Oily,Acne,120,"I love the color range of this product, and I did find it to be quite long wearing. But I found that no matter what primer I use under it, this foundation emphasizes any texture/pores on my skin, and clings to any dry patches. I tried applying it with a brush and with a sponge, and it just makes me look scaly. Setting it with powder makes it look worse on me, but not setting it has my oil breaking through and making me shiny after about an hour of wear, which at least helps skin look less reptilian. I have combination/oily skin, and tend to like matte foundations, but this one just doesn't work for me, and is not flattering on my skin at all. I want to like it, and am willing to try it as a mixer with other foundations to see if that works better.",0,4,18,60
409,cocoakiss,Brown,Black,Dark,Combination,Dullness,440,"This foundation makes me want to actually do my makeup lol I originally brought the 450 but after wearing it a few hours it turned darker from my skin tone. After waiting so long I finally got the 440 and it is perfect. I have a oily t-zone and with Fenty Beauty I don't get as nearly as oily as I did with my Becca/Cargo mix. And it stays flawless for hours with only 1 blot in between. Also the smell, ugh it's lovely. No cons so far, hadn't noticed any breakouts. A perfect 10!",1,2,9,100
410,Rubynesque,Unknown,Unknown,Unknown,Unknown,Unknown,420,"I went in my local Sephora the other day to check out the whole beauty line. I was so excited to see what Rihanna has accomplished for the beauty community! At first, due to pricing (since I'm a broke college student...Broke Phi Broke Inc. over here), I decided not to take the plunge to purchase. However, it was still on my mind once I left the store!!!! IDK why it started haunting me from YouTube to my dreams! *Seriously* So I went back to my local Sephora and decided to get a sample of this foundation. I applied it this evening for date night and...BAY-BEEEEE!!!! I am SHOOK TO THE CORE OF THE EARTH!!! I have crazy oily skin with acne scars and within the first layer, it covered everything and set flawlessly! It was GORGE!!! But I do recommend blotting and investing in your best mattifying primer to get this baby rolling because I did experience some shine after a couple of hours. All in all, this would be $34 well spent!",1,4,18,100
411,EmilyMSW,Hazel,Blonde,Porcelain,Normal,Aging,140,I received a sample pack w/a purchase I made yesterday. I used the shade 140 and while it was a little too warm for me (I'm fair w/neutral undertones) it looked beautiful and wore wonderfully! It had amazing coverage while keeping the skin looking natural. I can't wait to get paid and buy a full size!,1,4,18,100
412,Hunnybunny427,Unknown,Unknown,Unknown,Unknown,Unknown,360,"I loveeee this foundation! It completley nails my undertones and leaves my skin looking flawless! It did slightly oxidize on my skin, but not too crazy where you should change a shade! 100% will buy again! :)",1,6,27,100
413,ericapzs,Brown,Black,Olive,Oily,Acne,290,"It does darken a tad bit when it sets. This line has a amazing color selection! I always have trouble finding a shade for my medium tan skin. It's either too pink and light or to dark and orange rarely do i find a medium dark/tan with olive undertones. I got the color 290 and the undertone is perfect! A little goes a long way with this product. I myself don't love a super full coverage face but i get a great medium with just one pump. This is a water based foundation so it set quickly. I recommend applying in sections. Also using a brush seems to work best for application. Tried the beauty blender with this and it soaked up a lot of product- cause duh! water based foundation :p And this wears great on my super oily skin throughout my work day (10 hour from home to work and back). I do blot in the afternoon and foundation is still in place! I've been wearing this in crazy heatwave weather too! And still in place :D Hopefully this works in the dry ""winter"" months in CA lol",1,2,9,100
414,mandyduongg,Brown,Black,Light,Combination,Acne,180,"Such a beautiful foundation! I have combination-oily skin and it has such a nice finish on me. Its matte but it still has a hint of dewiness so I don't look like a piece of cardboard. I can definitely see why it wouldn't work on people with dry or textured skin, since it is so matte it will snatch on to every single feature on your face. Before I wear this foundation, I make sure to exfoliate my face and have a clear canvas but considering the finish I get with it, I certainly don't mind. I can not stress how much I love this foundation, it is my new holy grail.",1,2,9,100
415,MakaylaJane,Blue,Blonde,Light,Combination,Acne,260,"Most foundations I’ve tried, no matter how much setting powder used, get really oily throughout the day, especially around my nose and chin. This foundation is the first for me that can go hours without getting oily! High, buildable coverage. Definitely lives up to the hype",1,4,18,100
416,mlp1,Unknown,Unknown,Unknown,Unknown,Unknown,180,"This foundation is good. I am 39, normal but sensitive and dehydrated skin, light with golden undertones (just as a reference). The shade selection is amazing for neutral to warm undertones. I have no idea about the cooler side. The finish is soft matte. The coverage is light/medium to full medium. I do not believe it's full by any stretch of the imagination. It builds somewhat but I think it will lose some of its beauty if you attempt full coverage. I do not think it emphasizes dryness, fine lines, pores or any texture imo. It's the first foundation I've liked in a long time. I just can't be bothered if it emphasizes any of those things. I bought color 180 and it is a true golden undertone not a peachy warm. Right now I would estimate being an NC20 in Mac terms and 180 is great. I think this foundation will appeal to many skin types and colors because the finish is so flattering. This will be 5 stars for many but I am super picky. I might even repurchase because it is good. I recommend it.",1,7,31,80
417,Alabamabound,Brown,Black,Deep,Combination,Acne,410,"I went to The Summit in Birmingham, Alabama and got a makeover with only Fenty products and I was very impressed. Kym my makeup artist did a phenomenal job. I was her first client of the day. I would highly recommend the products...... so far, so good. You did your thing Rihanna",1,7,31,100
418,sexcLatina,Unknown,Unknown,Unknown,Unknown,Unknown,130,"If you're using retinol products and have mature skin this may not work for you. The color match was perfect and it applies beautifully one section at a time. However, once you it dries ever dry patch you have says ""hi"". I moisturized very well and applied a hydrating primer prior to application. I even applied fix after it set. Too many steps to make a foundation work. My face felt heavy not from the foundation but from the layers of skincare I had to apply to make it work for 3 hours. I removed it after 3 hours and tried again this time I mixed it with a dewy foundation. It did not play well. I gave up. It's going back. If you can make it work more power to you. It is a beautiful foundation simply not for my skin type.",0,8,35,60
419,MakeupByNikki,Brown,ns Frizz,Tan,Combination,Dark circles,300,"I was a little skeptical at first about this foundation only because it's so hard for me to choose foundations specially me being oily yet dry around the corners of nose & my skin being sensitive. Swatched it on my hand & it felt AMAZING! So i had one of the girls test it on me to be color matched & OMG the way it felt on my skin was awesome! I bought the foundation, went home & removed all of my makeup & put this one on to give it a go & about 2 hours later it still looked hella good! I live in California where it's hot AF & i legit did not have to touch up. IMPRESSED & HIGHLY RECOMMEND! The variety of color range is a big plus as well!",1,8,35,100
420,tyyjewell,Unknown,Unknown,Unknown,Unknown,Unknown,390,I'm a cheerleader and I bought this to try out my first game and ohmygosh! It stayed PUT for 9 hours in the Texas heat and it looked FLAWLESS! I got so many complements from my teammates and other friends. Worth the money!! (I have combo/oily skin and smile lines),1,3,13,100
421,Rachelm3,Unknown,Unknown,Unknown,Unknown,Unknown,190,"I got this today and already in love!! I have normal to dry skin and I am light with neutral/warm undertones, other foundations are usually too warm or cool. I surprisingly have a hard time finding the right shade with the right undertone, and this one matches so perfectly. I was scared that it was matte but it's definitely Demi matte and it gives a beautiful natural look. I usually never review things but I'm just so in love.",1,3,13,100
422,Haaleeeyyyy,Brown,Brunette,Light,Combination,Acne,200,"I don’t like the way it oxidizes on my skin. It makes me look so orange after a while so I recommend to get a shade lighter than normal if you think to purchase the foundation. Other than that, I love it! It’s so light on the skin and it’s easy to work with.",1,6,26,80
423,briannadrew,Green,Brunette,Porcelain,Combination,Acne,100,"I have had such a hard time finding a foundation light enough for me, the lightest shades in every other line were too dark for me. I've finally found my perfect shade! Right undertones and everything! The finish is also PERFECT! Very buildable and not cakey at all, looks natural and airbrushed while also being matte which is exactly what I've been looking for! I can't imagine a more prefect foundation for me. Thanks, RiRi!!!",1,3,13,100
424,GabbyWS,Brown,Black,Deep,Oily,Acne,420,I love this color match and initial application but after 2 or 3 hours my T-zone is an oil slick. I bought the Fenty primer as well and it doesn't help but it does work with the less greasy areas of my face. Maybe I need a more intense mattifying primer for that area. Trial and error.,1,3,13,60
425,cieracharnae,Brown,Black,Ebony,Combination,Acne,490,FINALLY! a foundation for darker skin. It matches my skin perfectly. I normally wear MAC studio tech NW55 or NW58 but this actually looks way better. It blends in amazingly.,1,28,121,100
426,therealdoll,Brown,ns Damage,Olive,Oily,Acne,330,"They are matte, I've never really been a fan of matte.. but THIS and the foundation gives such a Natural look! I wasnt really expecting anything from the highlight stick but actually was amazing as well. Rihanna really changed the game with this. Quality Product for sure.",1,11,47,100
427,MissAsp,Brown,Black,Deep,Oily,Acne,420,"This is not a perfect foundation, but it's the closest I've ever seen! It melts into my skin so well, and the finish is extremely natural. Pros: Shade range- I have dark Indian skin, and struggle to find something with the right undertone. This was practically perfect. My best friend is a mixture of French and Native American so she struggles to find light foundation shades with an olive undertone- she also found her perfect match. Price- My last ""almost perfect"" foundation was Marc Jacob's $70-ish full coverage foundation. This foundation looks way better on me, as the finish is more natural and the skin tone an almost exact match. Lightweight- I forget I'm wearing makeup Long-lasting- At the end of the day, it looks almost exactly the same, with no gross melting effect. It does NOT rub off onto other things- I say this as someone who doesn't use primer or setters or whatever on top of my foundation Cons: Shades oxidize- the foundation does end up a bit more orange after it dries than when it first goes on. Coverage- this is more of a medium coverage than full coverage. Of course, there are concealer sticks and primers you're meant to use with this, but I'm cheap and lazy. Overall: If it's tricky for you to find a foundation, because other companies think you're too pale/dark/olive/Indian/whatever, DO try Fenty. This will become your new fav. At $34 a bottle, this is amazing.",1,26,111,100
428,ashleyscott,Hazel,Brunette,Medium,Combination,Unknown,300,"I bought this and wore it two days straight, giving it a chance with both a mattifying primer and a glowy primer. My skin type is combination, oily in my t-zone. So I was excited for another matte foundation that isn't thick ! But boy oh boy was I let down, after a few hours it was streaky and patchy, and by lunch my nose chin and forehead was extremely shiny and broke apart. I applied the foundation correctly, sweeping and pressing not buffing and it still bunched up in places.",0,8,34,40
429,chantilleu,Brown,Brunette,Medium,Combination,Unknown,290,LOVE this foundation! The sales girl at Sephora helped me to find the perfect shade. Finding a shade has always been hard for me but now I won't have to worry about that! The coverage is medium and does not over dry the skin but I do have to apply it quickly because it dries fast. No problem with that! I just work one side at a time. I love how it makes my skin look natural. Would definitely recommend.,1,4,17,100
430,Kaiyah,Green,Brunette,Light,Combination,Acne,110,"To be completely honest, I first purchased this product because of all of the hype. I then heard great things about it (like shade selection, formula, hours of wear time, etc.) but then I tried it and it’s safe to say I am more than disappointed. Although the shade is perfect for my pale skin, it dries incredibly fast, making it nearly impossible to blend. It also oxidizes. I find it breaks down after about two hours, which is definitely not worth the money. The formula is horrible for dry skin as it picks up on every patch, and it’s nearly impossible to build the coverage as the makeup doesn’t stay in place. Terrible as masking discolouration and imperfections as well. I definitely DO NOT recommend this product. I haven’t even used half the bottle and I’ve already purchased a new foundation.",0,4,17,20
431,Niikkaa,Brown,Blonde,Light,Combination,Acne,140,"Really wanted to love it but it worse horribly over the course of the day. I tried with numerous different primers and with different applicators, including from the line and it just looked like a sloppy mess after 6 hours. Disappointed.",0,4,17,20
432,savvy91,Unknown,Unknown,Unknown,Unknown,Unknown,290,"I am in love ! Rhi Rhi just changed the makeup game! I bought this product for my pro kit . It's so easy to work with . Stays put, no creasing or moving at all of this product! Long wearing! Love using my real techniques beauty sponges with this formula, but works wonders with the brush as well! Other products blend nicely on top of this foundation. It blends like a dream. I will never go back to any other line. Game changer for sure ! Every pro artist should have this in their kit .",1,4,17,100
433,katepaster11,Hazel,Brunette,Light,Dry,Aging,140,This is a great foundation for those with oily skin. Very natural looking and it’s easy to find a perfect color match. On my skin (combination dry) this foundation isn’t the best. The dry patches on my skin are accentuated and powdery looking. In the photo I circled a part of my skin that is dry and the foundation made look flakey.,1,13,55,60
434,Shanamiraa,Brown,Brunette,Ebony,Combination,Acne,450,I'm oily to combination And this product has surprised me. I didn't expect it to work. I've work in 3 days now. And immnot getting oily and there's no separation. I'm going to try wearing it to a party and see how it handles sweat. I'd recommend because its skin like if you want a natural look but it's also buildable if you want a beat look. It dries fast which I love. Blend as you go and you'll love it. Again I'm just shocked this thing works so well on me so far. I found my perfect match too. Btw it didn't oxidize on me?! i guess everyone's skin is different? Nothing noticeable on me.,1,14,59,100
